iso2,iso3,lat,lon
US,USA,38.901495,-77.011364
GB,GBR,51.501941,-0.118668
SA,SAU,24.634497,46.720487
ZA,ZAF,-33.918065,18.433042
RU,RUS,55.754110,37.613577
MX,MEX,19.444388,-99.132934
IT,ITA,41.897902,12.481313
CN,CHN,39.901720,116.394201
KE,KEN,-1.281401,36.814711
ID,IDN,-6.172472,106.827492
CO,COL,4.598369,-74.085290
EG,EGY,30.051906,31.248022
JP,JPN,35.686963,139.749462
FR,FRA,48.858092,2.352992
CL,CHL,-33.440205,-70.650504
SG,SGP,1.294979,103.853875
